index,키워드,키워드_빈도,포함 인물 수,포함 인물
61,민족,71,40,"암본복길(岩本福吉), 유재기(劉載奇), 무촌청진(茂村靑辰), 안시웅(安時雄), 암천수광(岩川秀光), 선성해직(宣城海稙), 송원춘기(松原春基), 유택건차랑(柳澤健次郞), 이가진호(李家振○), 궁본한룡(宮本漢龍)"
62,사유재산제,70,61,"김기두(金琪斗), 최육득(崔六得), 이대수(李大壽), 서삼식(徐三植), 이남의(李南儀), 길재철(吉在哲), 강학병(姜鶴秉), 김완근(金完根), 황장근(黃長根), 상원맥(桑原驀)"
63,배포,70,46,"서인필(徐仁弼), 주명득(朱明得), 김용완(金溶玩), 전경석(全景錫), 전동환(全東煥), 한길상(韓吉祥), 신공량(申公良), 이규몽(李圭蒙), 최석룡(崔碩龍), 김상준(金賞俊)"
64,공산혁명,69,58,"김기두(金琪斗), 최육득(崔六得), 이대수(李大壽), 서삼식(徐三植), 이남의(李南儀), 길재철(吉在哲), 김완근(金完根), 황장근(黃長根), 상원맥(桑原驀), 김귀중(金貴仲)"
65,여명,69,47,"이형순(李亨淳), 박성행(朴聲行), 윤정삼(尹鼎三), 박덕구(朴德求), 김병수(金丙洙), 김순연(金順淵), 서상철(徐相喆), 유제섭(劉悌燮), 윤교영(尹敎永), 김여근(金汝根)"
66,협박,68,31,"김유근(金有根), 손화삼(孫華三), 김성련(金成鍊), 노화범(盧和範), 김연택(金然澤), 김학곤(金學坤), 김익련(金益鍊), 허을(許○), 이계웅(李啓雄), 김관룡(金寬龍)"
67,정거장,67,67,"신상호(申尙昊), 김순도(金順道), 김선행(金善行), 이봉조(李鳳朝), 강봉우(姜鳳雨), 김응봉(金應鳳), 나승규(羅昇奎), 오대영(吳大泳), 이창석(李昌錫), 임병행(林秉行)"
68,미수,67,67,"신상호(申尙昊), 김순도(金順道), 김선행(金善行), 이봉조(李鳳朝), 강봉우(姜鳳雨), 김응봉(金應鳳), 나승규(羅昇奎), 오대영(吳大泳), 이창석(李昌錫), 임병행(林秉行)"
69,라우,67,67,"신상호(申尙昊), 김순도(金順道), 김선행(金善行), 이봉조(李鳳朝), 강봉우(姜鳳雨), 김응봉(金應鳳), 나승규(羅昇奎), 오대영(吳大泳), 이창석(李昌錫), 임병행(林秉行)"
70,부내,67,42,"윤귀룡(尹貴龍), 이인영(李寅永), 전동환(全東煥), 이시웅(李時雄), 김창현(金昌玄), 강일영(姜日永), 이세춘(李世春), 윤원삼(尹愿三), 최동(崔棟), 이용흡(李龍洽)"
71,조선민족,67,36,"류낙수(柳洛秀), 김희주(金禧柱), 손치우(孫致祐), 신홍윤(申弘允), 강전병진(姜田炳辰), 김성신(金成信), 하정호(河呈昊), 장동환(張東煥), 피순표(皮淳杓), 나인협(羅寅協)"
72,민중,67,15,"원세후(元世후), 백상규(白相奎), 정노식(鄭魯湜), 최린(崔麟), 한병익(韓秉益), 김창준(金昌俊), 김영운(金泳運), 정춘수(鄭春洙), 정용규(鄭龍奎), 김지순(金智淳)"
73,운동,66,57,"장영옥(張永玉), 최난씨(崔蘭氏), 이병익(李炳翼), 최자근동(崔者斤同), 이기두(李基斗), 박형인(朴亨寅), 지사원(池思源), 이세춘(李世春), 김병한(金秉漢), 이창룡(李昌龍)"
74,구한국,65,46,"정흥룡(鄭興龍), 현기율(玄機律), 심점봉(沈点奉), 양석룡(梁錫龍), 이백하(李栢夏), 김병규(金秉奎), 이용돈(李容敦), 권영진(權寧震), 장약운(張若雲), 장귀남(張貴男)"
75,등사,65,34,"이명종(李明鍾), 김승일(金承一), 강연(姜沇), 여운긍(呂運兢), 류준석(柳俊錫), 오은영(吳恩泳), 김명준(金明濬), 곽순영(郭淳英), 신상흡(申相翕), 조성룡(曺成龍)"
76,강화,65,25,"정낙현(鄭洛賢), 엄윤영(嚴允榮), 이병직(李秉直), 이병권(李炳權), 고석준(高錫俊), 조중선(趙仲善), 양제선(梁濟善), 김인옥(金仁玉), 이원상(李元祥), 송시준(宋時俊)"
77,조선인,64,52,"김태순(金泰淳), 양주홍(梁柱烘), 박남준(朴南俊), 송원박(宋原博), 강내석(康乃錫), 덕산숙범(悳山淑範), 전훤식(全萱植), 어수갑(魚秀甲), 주본정부(朱本正夫), 김원오(金元伍)"
78,제작,64,58,"최재훈(崔在勳), 박형인(朴亨寅), 이승덕(李承德), 정학순(鄭學順), 최병한(崔丙漢), 석병길(石丙吉), 송수연(宋洙淵), 조술현(曺述鉉), 서진령(徐鎭령), 이인규(李麟珪)"
79,국기,63,48,"원세후(元世후), 최재훈(崔在勳), 심문식(沈文植), 최상린(崔祥麟), 조규학(曺圭鶴), 현기율(玄機律), 최정건(崔貞健), 김영종(金永鍾), 김경두(金璟斗), 원형국(元亨國)"
80,남대문,62,49,"박주풍(朴疇豊), 윤기성(尹基誠), 정태화(鄭泰和), 김복성(金福成), 전동환(全東煥), 안명흠(安明欽), 강일영(姜日永), 김승제(金承濟), 황창희(黃昌禧), 한호석(韓戶石)"
81,대의,61,61,"신상호(申尙昊), 김선행(金善行), 변인서(邊麟瑞), 이봉조(李鳳朝), 김응봉(金應鳳), 나승규(羅昇奎), 오대영(吳大泳), 이창석(李昌錫), 임병행(林秉行), 천연도(千年桃)"
82,비밀리,61,9,"최린(崔麟), 정노식(鄭魯湜), 백상규(白相奎), 한병익(韓秉益), 김창준(金昌俊), 정춘수(鄭春洙), 문은종(文殷鍾), 최남선(崔南善), 김원벽(金元璧)"
83,한자,60,57,"김완석(金完錫), 장병규(張秉奎), 전석원(田錫元), 천학서(千學書), 유점동(柳点同), 유복렬(柳復烈), 여운긍(呂運兢), 최순근(崔順根), 강흥근(姜興根), 추은정(秋殷町)"
84,모집,60,28,"안교열(安敎烈), 국진순(鞠眞淳), 이태근(李泰覲), 김영두(金英斗), 장홍해(張鴻海), 유원권(柳遠權), 조만식(趙晩植), 김익곤(金益坤), 김공칠(金珙七), 송기주(宋己柱)"
85,영향,59,20,"엄윤영(嚴允榮), 이병직(李秉直), 윤명복(尹命福), 이병권(李炳權), 조중선(趙仲善), 류상순(柳相淳), 신국홍(申國洪), 김인옥(金仁玉), 채덕산(蔡德山), 서홍구(徐洪勾)"
86,불꽃,59,59,"신상호(申尙昊), 김선행(金善行), 변인서(邊麟瑞), 이봉조(李鳳朝), 김응봉(金應鳳), 나승규(羅昇奎), 오대영(吳大泳), 이창석(李昌錫), 임병행(林秉行), 최성민(崔聖民)"
87,배일,59,59,"신상호(申尙昊), 김선행(金善行), 변인서(邊麟瑞), 이봉조(李鳳朝), 김응봉(金應鳳), 나승규(羅昇奎), 오대영(吳大泳), 이창석(李昌錫), 임병행(林秉行), 최성민(崔聖民)"
88,자금,59,44,"안교열(安敎烈), 양재학(梁載學), 최경준(崔京俊), 이승호(李丞浩), 이승주(李承胄), 김충규(金忠圭), 백인옥(白仁玉), 이병철(李秉澈), 김공칠(金珙七), 한봉주(韓鳳周)"
89,민족자결,58,44,"안두종(安斗鍾), 고신봉(高信鳳), 장지림(張志林), 차인규(車寅奎), 문상직(文相直), 이정연(李鼎淵), 윤명복(尹命福), 양석룡(梁錫龍), 김약준(金若濬), 안영근(安永根)"
90,경찰서,56,33,"김원진(金元鎭), 임영신(任永信), 이원경(李元敬), 김성률(金聖律), 김영희(金永禧), 한유성(韓有聖), 이근식(李根植), 김기덕(金基德), 최기물(崔氣物), 고제몽(高濟夢)"
91,군자금,56,26,"전상준(全相俊), 진진권(陳振權), 이태근(李泰覲), 이돈호(李暾浩), 김병주(金炳柱), 이영주(李永周), 김영기(金榮基), 김한종(金漢鍾), 김도원(金道源), 임세규(林世圭)"
92,다수,56,48,"김제룡(金濟龍), 김태순(金泰淳), 김순천(金順天), 김연배(金年培), 이정순(李貞淳), 김형배(金瀅培), 조업증(趙業曾), 장송손(張松孫), 전훤식(全萱植), 김사복(金士福)"
93,구타,53,19,"김유근(金有根), 박범룡(朴範龍), 이용각(李龍珏), 김찬용(金贊用), 이여종(李呂鍾), 안교은(安敎殷), 김양칠(金良七), 유의호(柳宜鎬), 김순창(金順昌), 김장안(金長安)"
94,전개,52,30,"이가규헌(李家圭憲), 신상우(申相雨), 박근성(朴根盛), 정흥룡(鄭興龍), 오태진(吳泰鎭), 전정준(全珽準), 류병곤(柳炳坤), 권영진(權寧震), 장귀남(張貴男), 이만석(李萬錫)"
95,소리,52,31,"전재순(全在淳), 김계한(金啓漢), 유기호(劉基鎬), 홍종준(洪鍾峻), 황봉주(黃鳳周), 김일곤(金日坤), 김상훈(金相訓), 이봉서(李鳳瑞), 조경윤(趙景尹), 유관순(柳寬順)"
96,동지,51,29,"김성구(金聲球), 홍기진(洪基鎭), 박성호(朴聖浩), 김석만(金錫萬), 안교열(安敎烈), 이인규(李麟珪), 강흥락(姜興洛), 최명학(崔明鶴), 곽선죽(郭善竹), 한림(韓林)"
97,경성부,50,41,"김완석(金完錫), 장병규(張秉奎), 전석원(田錫元), 천학서(千學書), 유점동(柳点同), 정구철(鄭求喆), 최순근(崔順根), 강흥근(姜興根), 배동석(裵東石), 임동건(林東乾)"
98,절규,49,48,"박주풍(朴疇豊), 김복성(金福成), 안명흠(安明欽), 심점봉(沈点奉), 이영직(李泳稙), 이학복(李鶴馥), 노용빈(盧龍斌), 황창희(黃昌禧), 곽대용(郭大容), 노원(盧원)"
99,창수,49,7,"권상룡(權相龍), 윤학근(尹學根), 김경발(金景發), 이진택(李鎭澤), 김덕규(金德圭), 김연순(金演淳), 정석출(鄭石出)"
100,공문서,49,7,"권상룡(權相龍), 윤학근(尹學根), 김경발(金景發), 이진택(李鎭澤), 김덕규(金德圭), 김연순(金演淳), 정석출(鄭石出)"
101,각지,49,46,"이병익(李炳翼), 최자근동(崔者斤同), 이규헌(李奎憲), 정낙현(鄭洛賢), 박시훈(朴時薰), 안병철(安秉喆), 박관식(朴寬植), 이진후(李震厚), 이창룡(李昌龍), 양대삼(梁大三)"
102,천도교,49,37,"조영섭(曹永涉), 김원걸(金元杰), 김응도(金應道), 김천일(金千鎰), 조인환(曹寅煥), 김창현(金昌玄), 양재학(梁載學), 최경준(崔京俊), 김병주(金炳柱), 이승주(李承胄)"
